conditions	conditions-href	title	other_names	test	meds	symptom	percent	attr	freq
Alcohol abuse	http://www.symcat.com/conditions/alcohol-abuse	Alcohol abuse	"Also known as Alcoholism, Alcohol Addiction, and Alcohol Dependence Syndrome"			Slurring words	2		
Kidney failure	http://www.symcat.com/conditions/kidney-failure	Kidney failure	Also known as Renal Failure					White	0.7x
Fracture of the leg	http://www.symcat.com/conditions/fracture-of-the-leg	Fracture of the leg	"Also known as Broken Leg, Leg Fracture, Lower Extremity Fracture, and Lower Limb Fractures"			Problems with movement	17		
Problem during pregnancy	http://www.symcat.com/conditions/problem-during-pregnancy	Problem during pregnancy	Also known as Pregnancy Problem	Complete blood count (Cbc)					
Skin polyp	http://www.symcat.com/conditions/skin-polyp	Skin polyp	Also known as Benign Skin Tumor			Acne or pimples	29		
Arrhythmia	http://www.symcat.com/conditions/arrhythmia	Arrhythmia	"Also known as Irregular Heartbeat, Cardiac Arrhythmia, Heart Arrhythmia, Cardiac Dysrhythmia, and Abnormal Heart Rhythms"					75+ years	3.6x
Injury to the face	http://www.symcat.com/conditions/injury-to-the-face	Injury to the face	Also known as Face Injury and Facial Injury			Neck stiffness or tightness	9		
Fracture of the finger	http://www.symcat.com/conditions/fracture-of-the-finger	Fracture of the finger	Also known as Finger Fracture					30-44 years	1.1x
Colonic polyp	http://www.symcat.com/conditions/colonic-polyp	Colonic polyp	Also known as Colon Polyp and Polyp Of Colon	Other non-OR lower GI therapeutic procedures					
Aortic valve disease	http://www.symcat.com/conditions/aortic-valve-disease	Aortic valve disease	Also known as Aortic Valve Disorder		Amiodarone				
Gastrointestinal hemorrhage	http://www.symcat.com/conditions/gastrointestinal-hemorrhage	Gastrointestinal hemorrhage	"Also known as GI Bleeding, Gi Bleed, Gastrointestinal Bleeding, Gastrointestinal Bleed, and GI Hemorrhage"	Electrolytes panel					
Ingrown toe nail	http://www.symcat.com/conditions/ingrown-toe-nail	Ingrown toe nail	Also known as Ingrown Nail and Onychocryptosis					Black	0.8x
Heart failure	http://www.symcat.com/conditions/heart-failure	Heart failure	"Also known as Weak Heart, Heart Weakness, Myocardial Failure, and Cardiac Insufficiency"		Metolazone				
Fracture of the arm	http://www.symcat.com/conditions/fracture-of-the-arm	Fracture of the arm	Also known as Arm Fracture and Upper Extremity Fracture		Cephalothin				
Smoking or tobacco addiction	http://www.symcat.com/conditions/smoking-or-tobacco-addiction	Smoking or tobacco addiction	Also known as Nicotine Addiction and Nicotine Dependence					White	1.1x
Bipolar disorder	http://www.symcat.com/conditions/bipolar-disorder	Bipolar disorder	"Also known as Manic Depression, Bipolar Affective Disorder, and Bipolar Mood Disorder"			Insomnia	21		
Alcohol abuse	http://www.symcat.com/conditions/alcohol-abuse	Alcohol abuse	"Also known as Alcoholism, Alcohol Addiction, and Alcohol Dependence Syndrome"		Reserpine (Hhr)				
Bruise	http://www.symcat.com/conditions/bruise	Bruise	Also known as Contusion		Potassium Perchlorate				
Pregnancy	http://www.symcat.com/conditions/pregnancy	Pregnancy	Also known as Gestation			Pelvic pressure	2		
Seborrheic dermatitis	http://www.symcat.com/conditions/seborrheic-dermatitis	Seborrheic dermatitis	Also known as Seborrhea and Seborrheic Eczema					Other	1.1x
Hypoglycemia	http://www.symcat.com/conditions/hypoglycemia	Hypoglycemia	Also known as Low Blood Sugar Level		Pancuronium				
Bruise	http://www.symcat.com/conditions/bruise	Bruise	Also known as Contusion			Foot or toe pain	31		
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null	Radiographic imaging procedure					
Brain cancer	http://www.symcat.com/conditions/brain-cancer	Brain cancer	Also known as Cancer Of The Brain and Malignant Neoplasm Of Brain			Focal weakness	17		
Sebaceous cyst	http://www.symcat.com/conditions/sebaceous-cyst	Sebaceous cyst	"Also known as Wen, Epidermoid Cyst, Epithelial Cyst, and Keratin Cyst"		Procaine (Novocaine)				
Vasculitis	http://www.symcat.com/conditions/vasculitis	Vasculitis	Also known as Angiitis			Skin irritation	6		
Restless leg syndrome	http://www.symcat.com/conditions/restless-leg-syndrome	Restless leg syndrome	Also known as Ekbom Syndrome					Other	0.8x
Pelvic inflammatory disease	http://www.symcat.com/conditions/pelvic-inflammatory-disease	Pelvic inflammatory disease	Also known as PID					Hispanic	1.0x
Schizophrenia	http://www.symcat.com/conditions/schizophrenia	Schizophrenia	null			Anxiety and nervousness	32		
Scar	http://www.symcat.com/conditions/scar	Scar	null	Excision (Removal)					
Venous insufficiency	http://www.symcat.com/conditions/venous-insufficiency	Venous insufficiency	null	Debridement of wound; infection or burn					
Appendicitis	http://www.symcat.com/conditions/appendicitis	Appendicitis	null		Diatrizoate				
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null					Hispanic	1.6x
Cardiomyopathy	http://www.symcat.com/conditions/cardiomyopathy	Cardiomyopathy	Also known as Heart Muscle Disease and Myocardial Disease	Other diagnostic procedures (interview; evaluation; consultation)					
Conduct disorder	http://www.symcat.com/conditions/conduct-disorder	Conduct disorder	null	Psychological and psychiatric evaluation and therapy					
Acute bronchitis	http://www.symcat.com/conditions/acute-bronchitis	Acute bronchitis	null		Azithromycin				
Peripheral nerve disorder	http://www.symcat.com/conditions/peripheral-nerve-disorder	Peripheral nerve disorder	Also known as Peripheral Neuropathy		Duloxetine (Cymbalta)				
Viral warts	http://www.symcat.com/conditions/viral-warts	Viral warts	null					Female	0.9x
Contact dermatitis	http://www.symcat.com/conditions/contact-dermatitis	Contact dermatitis	"Also known as Contact Sensitivity, Contact Eczema, and Dermatitis Venenata"			"Skin dryness, peeling, scaliness, or roughness"	21		
Fungal infection of the skin	http://www.symcat.com/conditions/fungal-infection-of-the-skin	Fungal infection of the skin	"Also known as Dermatomycosis, Fungal Skin Disease, Cutaneous Mycosis, and Epidermomycosis"			Itching of skin	41		
Schizophrenia	http://www.symcat.com/conditions/schizophrenia	Schizophrenia	null			Depressive or psychotic symptoms	60		
Neurosis	http://www.symcat.com/conditions/neurosis	Neurosis	Also known as Neurotic Disorder					75+ years	0.4x
Acute bronchospasm	http://www.symcat.com/conditions/acute-bronchospasm	Acute bronchospasm	Also known as Bronchial Spasm					Black	1.0x
Gastroesophageal reflux disease (GERD)	http://www.symcat.com/conditions/gastroesophageal-reflux-disease-gerd	Gastroesophageal reflux disease (GERD)	Also known as Reflux and GERD					15-29 years	0.5x
Bursitis	http://www.symcat.com/conditions/bursitis	Bursitis	Also known as Inflammation Of Bursa					Other	0.8x
Gastrointestinal hemorrhage	http://www.symcat.com/conditions/gastrointestinal-hemorrhage	Gastrointestinal hemorrhage	"Also known as GI Bleeding, Gi Bleed, Gastrointestinal Bleeding, Gastrointestinal Bleed, and GI Hemorrhage"			Blood in stool	75		
Macular degeneration	http://www.symcat.com/conditions/macular-degeneration	Macular degeneration	Also known as Macula Lutea Degeneration	Other intraocular therapeutic procedures					
Injury of the ankle	http://www.symcat.com/conditions/injury-of-the-ankle	Injury of the ankle	Also known as Ankle injury					Hispanic	1.0x
Depression	http://www.symcat.com/conditions/depression--2	Depression	Also known as Depressive Disorder		Buspirone (Buspar)				
Insect bite	http://www.symcat.com/conditions/insect-bite	Insect bite	null		Diphenhydramine (Benadryl)				
Kidney failure	http://www.symcat.com/conditions/kidney-failure	Kidney failure	Also known as Renal Failure		Hydralazine				
Open wound of the arm	http://www.symcat.com/conditions/open-wound-of-the-arm	Open wound of the arm	null	CAT scan of head (Head ct)					
Gout	http://www.symcat.com/conditions/gout	Gout	Also known as Uric acid arthropathy					Other	1.5x
Tooth abscess	http://www.symcat.com/conditions/tooth-abscess	Tooth abscess	Also known as Dental Abscess			Jaw swelling	41		
Deviated nasal septum	http://www.symcat.com/conditions/deviated-nasal-septum	Deviated nasal septum	null		Desflurane				
Viral warts	http://www.symcat.com/conditions/viral-warts	Viral warts	null	Complete physical skin exam performed (ML)					
Gastroduodenal ulcer	http://www.symcat.com/conditions/gastroduodenal-ulcer	Gastroduodenal ulcer	Also known as PUD and Peptic Ulcer Disease					< 1 years	0.0x
Rotator cuff injury	http://www.symcat.com/conditions/rotator-cuff-injury	Rotator cuff injury	Also known as Rotator Cuff Tear and Rotator Cuff Rupture					75+ years	1.2x
Pyelonephritis	http://www.symcat.com/conditions/pyelonephritis	Pyelonephritis	Also known as Bacterial Infection Of The Kidney					White	1.0x
Appendicitis	http://www.symcat.com/conditions/appendicitis	Appendicitis	null			Burning abdominal pain	41		
Hypoglycemia	http://www.symcat.com/conditions/hypoglycemia	Hypoglycemia	Also known as Low Blood Sugar Level					5-14 years	0.4x
Osteoarthritis	http://www.symcat.com/conditions/osteoarthritis	Osteoarthritis	"Also known as Degenerative Joint Disease, Degenerative Arthritis, Osteoarthrosis, Degenerative Arthropathy, and Hypertrophic Arthritis"		Mepivacaine (Carbocaine)				
Postoperative infection	http://www.symcat.com/conditions/postoperative-infection	Postoperative infection	null		Daptomycin				
Strep throat	http://www.symcat.com/conditions/strep-throat	Strep throat	Also known as Streptococcal Pharyngitis and Streptococcal Sore Throat			Ear pain	39		
Injury of the ankle	http://www.symcat.com/conditions/injury-of-the-ankle	Injury of the ankle	Also known as Ankle injury					60-74 years	0.9x
Stye	http://www.symcat.com/conditions/stye	Stye	Also known as Hordeolum and Hordeolum Externum			Mass on eyelid	35		
Transient ischemic attack	http://www.symcat.com/conditions/transient-ischemic-attack	Transient ischemic attack	Also known as TIA			Focal weakness	40		
Chronic ulcer	http://www.symcat.com/conditions/chronic-ulcer	Chronic ulcer	Also known as Chronic Skin Ulcer					Black	0.8x
Diverticulitis	http://www.symcat.com/conditions/diverticulitis	Diverticulitis	null			Sharp abdominal pain	87		
Ischemic heart disease	http://www.symcat.com/conditions/ischemic-heart-disease	Ischemic heart disease	null		Digoxin				
Carpal tunnel syndrome	http://www.symcat.com/conditions/carpal-tunnel-syndrome	Carpal tunnel syndrome	Also known as Median Nerve Entrapment					60-74 years	1.3x
Diabetic peripheral neuropathy	http://www.symcat.com/conditions/diabetic-peripheral-neuropathy	Diabetic peripheral neuropathy	null					1-4 years	0.0x
Brain cancer	http://www.symcat.com/conditions/brain-cancer	Brain cancer	Also known as Cancer Of The Brain and Malignant Neoplasm Of Brain			Difficulty speaking	6		
Hypovolemia	http://www.symcat.com/conditions/hypovolemia	Hypovolemia	Also known as Fluid Volume Deficit and Fluid volume depletion			Diarrhea	69		
Injury to the finger	http://www.symcat.com/conditions/injury-to-the-finger	Injury to the finger	Also known as Finger Injury			Hand or finger swelling	35		
Neurosis	http://www.symcat.com/conditions/neurosis	Neurosis	Also known as Neurotic Disorder			Drug abuse	10		
Ovarian cyst	http://www.symcat.com/conditions/ovarian-cyst	Ovarian cyst	Also known as Cyst Of Ovary and Ovary Cyst	Standard pregnancy test					
Acute stress reaction	http://www.symcat.com/conditions/acute-stress-reaction	Acute stress reaction	null					Other	0.7x
Eczema	http://www.symcat.com/conditions/eczema	Eczema	Also known as Eczematous Dermatitis		Ketoconazole				
Personality disorder	http://www.symcat.com/conditions/personality-disorder	Personality disorder	null		Clonazepam				
Hyperemesis gravidarum	http://www.symcat.com/conditions/hyperemesis-gravidarum	Hyperemesis gravidarum	Also known as Excessive Vomiting In Pregnancy					1-4 years	0.0x
Female infertility of unknown cause	http://www.symcat.com/conditions/female-infertility-of-unknown-cause	Female infertility of unknown cause	null			Scanty menstrual flow	3		
Postoperative infection	http://www.symcat.com/conditions/postoperative-infection	Postoperative infection	null	Intravenous fluid replacement					
Spontaneous abortion	http://www.symcat.com/conditions/spontaneous-abortion	Spontaneous abortion	Also known as Miscarriage and Miscarriage Of Pregnancy	Kidney function tests (Kidney function test)					
Deep vein thrombosis (DVT)	http://www.symcat.com/conditions/deep-vein-thrombosis-dvt	Deep vein thrombosis (DVT)	Also known as DVT and Deep Thrombophlebitis	Kidney function tests (Kidney function test)					
Obstructive sleep apnea (OSA)	http://www.symcat.com/conditions/obstructive-sleep-apnea-osa	Obstructive sleep apnea (OSA)	Also known as OSA		Drospirenone-Estradiol				
Burn	http://www.symcat.com/conditions/burn	Burn	Also known as Burn Injury	Plain x-ray (X ray)					
Idiopathic absence of menstruation	http://www.symcat.com/conditions/idiopathic-absence-of-menstruation	Idiopathic absence of menstruation	null			Vaginal discharge	16		
Decubitus ulcer	http://www.symcat.com/conditions/decubitus-ulcer	Decubitus ulcer	"Also known as Pressure Ulcer, Pressure Sores, Bed Sore, and Contact Ulcers"		Silver Sulfadiazine Topical				
Colonic polyp	http://www.symcat.com/conditions/colonic-polyp	Colonic polyp	Also known as Colon Polyp and Polyp Of Colon		Yohimbine				
Personality disorder	http://www.symcat.com/conditions/personality-disorder	Personality disorder	null			Low self-esteem	15		
Gum disease	http://www.symcat.com/conditions/gum-disease	Gum disease	Also known as Periodontal Disease and Parodontosis	Other non-OR therapeutic procedures on nose; mouth and pharynx					
Chronic ulcer	http://www.symcat.com/conditions/chronic-ulcer	Chronic ulcer	Also known as Chronic Skin Ulcer		Cellulose				
Mitral valve disease	http://www.symcat.com/conditions/mitral-valve-disease	Mitral valve disease	Also known as Mitral Valve Disorder			Chest tightness	26		
Chronic obstructive pulmonary disease (COPD)	http://www.symcat.com/conditions/chronic-obstructive-pulmonary-disease-copd	Chronic obstructive pulmonary disease (COPD)	Also known as COPD and Chronic Obstructive Lung Disease			Coryza	31		
Problem during pregnancy	http://www.symcat.com/conditions/problem-during-pregnancy	Problem during pregnancy	Also known as Pregnancy Problem					White	0.7x
Psoriasis	http://www.symcat.com/conditions/psoriasis	Psoriasis	null					Other	1.3x
Metabolic disorder	http://www.symcat.com/conditions/metabolic-disorder	Metabolic disorder	null			Scanty menstrual flow	1		
Tinnitus of unknown cause	http://www.symcat.com/conditions/tinnitus-of-unknown-cause	Tinnitus of unknown cause	null			Hoarse voice	6		
Alzheimer disease	http://www.symcat.com/conditions/alzheimer-disease	Alzheimer disease	null		Memantine (Namenda)				
Metastatic cancer	http://www.symcat.com/conditions/metastatic-cancer	Metastatic cancer	Also known as Secondary Neoplasm		Palonosetron (Aloxi)				
Irritable bowel syndrome	http://www.symcat.com/conditions/irritable-bowel-syndrome	Irritable bowel syndrome	"Also known as Irritable Colon, Spastic Colon, and Mucous Colitis"			Regurgitation	15		
Myopia	http://www.symcat.com/conditions/myopia	Myopia	Also known as Nearsightedness	Other intraocular therapeutic procedures					
